branch,time,ok
fsm-01-01-mutant-cb,58.54s,True
fsm-01-02-mutant-cb,55.1s,True
fsm-01-03-mutant-cb,52.78s,True
fsm-01-04-mutant-cb,55.02s,True
fsm-01-05-mutant-cb,53.22s,True
fsm-01-06-mutant-cb,52.92s,True
fsm-01-07-mutant-cb,57.68s,True
fsm-01-08-mutant-cb,59.41s,True
fsm-01-09-mutant-cb,55.54s,True
fsm-01-10-mutant-cb,53.1s,True
fsm-01-base-cb,53.58s,True
fsm-01-01-mutant-ib,63.34s,True
fsm-01-02-mutant-ib,38.83s,True
fsm-01-03-mutant-ib,38.81s,True
fsm-01-04-mutant-ib,39.4s,True
fsm-01-05-mutant-ib,39.02s,True
fsm-01-06-mutant-ib,58.79s,True
fsm-01-07-mutant-ib,38.92s,True
fsm-01-08-mutant-ib,40.15s,True
fsm-01-09-mutant-ib,38.67s,True
fsm-01-10-mutant-ib,39.98s,True
